City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
244,kuchaiburi,22.2667,86.1667,296.54,33,0,0.65,IN,1710278638
245,marsaskala,22.2667,86.1667,296.54,33,0,0.65,IN,1710278638
246,port lincoln,-34.7333,135.8667,292.51,84,100,6.25,AU,1710278638
247,kulia village,-34.7333,135.8667,292.51,84,100,6.25,AU,1710278638
248,tchintabaraden,15.8969,5.7985,304.67,11,19,4.85,NE,1710278638
249,sisimiut,66.9395,-53.6735,264.21,93,100,2.61,GL,1710278638
250,magadan,59.5667,150.8,262.51,79,100,1.41,RU,1710278434
251,strezhevoy,60.7333,77.5889,251.31,100,95,2.3,RU,1710278639
252,ta`u,-14.2336,-169.5144,301.72,79,70,4.37,AS,1710278639
253,masvingo,-20.0637,30.8277,290.86,82,13,1.08,ZW,1710278639
254,indramayu,-6.3264,108.32,298.84,87,100,5.99,ID,1710278639
255,labrador city,52.9463,-66.9114,271.1,68,100,7.72,CA,1710278639
256,myeik,12.4333,98.6,298.57,74,35,1.76,MM,1710278639
257,vilyuysk,63.7553,121.6247,250.37,100,99,1.34,RU,1710278640
258,soligalich,59.0778,42.2864,272.42,96,100,2.51,RU,1710278640
259,huanan,46.2167,130.5167,263.16,97,92,1.3,CN,1710278640
260,bobo-dioulasso,11.1771,-4.2979,306.84,9,84,2.19,BF,1710278640
261,crockett,31.3182,-95.4566,297.14,60,75,4.12,US,1710278640
262,kulhudhuffushi,6.6221,73.07,300.82,75,34,1.51,MV,1710278641
263,doaba,33.4244,70.7364,288.52,44,100,1.1,PK,1710278641
264,boa vista,2.8197,-60.6733,306.14,46,78,6.17,BR,1710278641
265,tolanaro,-25.0319,46.9987,300.19,83,20,6.17,MG,1710278641
266,ouadda,8.0777,22.4007,302.7,24,91,1.32,CF,1710278641
267,rajgarh,28.6333,75.3833,294.35,31,0,2.74,IN,1710278641
268,porto novo,6.4965,2.6036,303.05,83,97,3.39,BJ,1710278424
269,yangor,6.4965,2.6036,303.05,83,97,3.39,BJ,1710278424
270,kihancha,-1.1838,34.6262,292.53,63,82,2.89,KE,1710278642
271,colesberg,-30.72,25.0972,297.2,35,70,4.18,ZA,1710278642
272,bolobo,-2.1667,16.2333,299.26,64,44,0.57,CD,1710278643
273,'ohonua,-2.1667,16.2333,299.26,64,44,0.57,CD,1710278643
274,tafuna,-14.3358,-170.72,301.12,89,75,0.0,AS,1710278643
275,prieska,-29.6641,22.7474,299.03,13,7,3.96,ZA,1710278643
276,tual,-5.6667,132.75,301.92,79,100,9.24,ID,1710278643
277,taiobeiras,-15.8078,-42.2331,296.36,86,93,2.15,BR,1710278644
278,klyuchi,52.2667,79.1667,261.9,95,89,4.58,RU,1710278644
279,utrik,11.2278,169.8474,300.0,75,100,10.54,MH,1710278644
280,buala,-8.145,159.5921,301.06,84,96,1.06,SB,1710278644
281,sinop,41.7711,34.8709,284.5,54,100,3.85,TR,1710278644
282,pariaman,-0.619,100.12,296.18,85,88,1.36,ID,1710278645
283,am djarass,-0.619,100.12,296.18,85,88,1.36,ID,1710278645
284,hailey,43.5196,-114.3153,278.04,76,100,2.06,US,1710278645
285,wynyard,-41.0,145.7167,286.51,89,100,3.86,AU,1710278645
286,juan l. lacaze,-34.4333,-57.4167,293.22,84,45,5.73,UY,1710278645
287,kerikeri,-35.2268,173.9474,295.32,88,100,2.38,NZ,1710278645
288,piti village,13.4626,144.6933,299.64,88,20,3.6,GU,1710278645
289,villa la angostura,-40.7617,-71.6463,285.75,71,79,4.75,AR,1710278646
290,shetpe,44.1667,52.1167,270.87,66,0,1.07,KZ,1710278646
291,sevastopol,44.6,33.5333,281.48,54,100,2.85,UA,1710278473
292,polyarnyy,69.1989,33.4478,267.14,75,98,6.67,RU,1710278646
293,santa luzia,-19.7697,-43.8514,300.75,73,20,4.63,BR,1710278647
294,jeremoabo,-10.075,-38.4808,304.77,37,93,3.37,BR,1710278647
